                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.4884,                0.97309,                 1.3827,                      1,                0.88345,                0.92872,                0.57101,                 1.3454,                0.75652,                 1.2671,               0.001406,               0.001406,               0.001406
                     92,                 1.4693,                0.89167,                 1.3153,                0.98382,                0.89474,                0.89953,                0.59223,                 1.2133,                0.71696,                 1.2439,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.3898,                0.89964,                 1.2984,                  0.978,                0.84211,                0.87097,                  0.618,                 1.1341,                0.70351,                  1.216,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.3876,                0.89419,                 1.3435,                0.99689,                0.89474,                0.91209,                0.54261,                 1.4401,                0.78946,                 1.2913,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.4142,                0.91591,                 1.3211,                0.64737,                0.57895,                0.75021,                0.42331,                 1.5027,                 1.3774,                 1.3121,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.4038,                0.92153,                 1.3236,                0.44763,                0.26316,                0.27837,                0.16232,                 2.2554,                 2.3546,                 1.7957,               0.001373,               0.001373,               0.001373
                     97,                 1.4193,                0.83546,                 1.2662,                 0.6226,                0.36842,                 0.3677,                0.24733,                 1.8422,                 2.0817,                 1.5655,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.4583,                0.94242,                 1.3526,                 0.9711,                0.36842,                 0.4802,                 0.2778,                 1.7273,                  2.192,                 1.3916,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.4026,                0.89596,                   1.29,                 0.9867,                0.89474,                0.90863,                0.66691,                 1.0434,                 0.6777,                 1.1843,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.3886,                0.91248,                 1.2949,                0.99818,                0.89474,                0.90838,                0.64362,                 1.0417,                0.68725,                 1.1968,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.3013,                0.84274,                 1.2335,                0.99423,                0.89474,                0.89958,                0.60508,                 1.1918,                0.71649,                 1.2115,                0.00134,                0.00134,                0.00134
